Code CIS,Code ATC,Libellé ATC
68783058,A01AB,ANTI-INFECTIEUX ET ANTISEPTIQUES POUR TRAITEMENT ORAL LOCAL
69564537,A01AB,ANTI-INFECTIEUX ET ANTISEPTIQUES POUR TRAITEMENT ORAL LOCAL
67133545,A01AB02,Peroxyde d'hydrogène
62633767,A01AB03,Chlorhexidine
67180032,A01AB03,Chlorhexidine
67960413,A01AB03,Chlorhexidine
68534402,A01AB03,Chlorhexidine
69205370,A01AB03,Chlorhexidine
69544246,A01AB03,Chlorhexidine
69798127,A01AB03,Chlorhexidine
69184289,A01AB09,Miconazole
69980852,A01AB09,Miconazole
60436479,A01AB11,Divers (anti-infectieux et antiseptiques pour traitement oral local)
61989408,A01AB11,Divers (anti-infectieux et antiseptiques pour traitement oral local)
65572846,A01AB11,Divers (anti-infectieux et antiseptiques pour traitement oral local)
66680127,A01AB11,Divers (anti-infectieux et antiseptiques pour traitement oral local)
67782430,A01AB11,Divers (anti-infectieux et antiseptiques pour traitement oral local)
60095056,A01AB12,Hexétidine
61455112,A01AB12,Hexétidine
61841548,A01AB12,Hexétidine
62906059,A01AB12,Hexétidine
66929112,A01AB12,Hexétidine
67376038,A01AB12,Hexétidine
67768847,A01AB12,Hexétidine
69739292,A01AB17,Métronidazole
62157019,A01AC,CORTICOÏDES POUR TRAITEMENT ORAL LOCAL
60508430,A01AD,AUTRES MÉDICAMENTS POUR TRAITEMENT ORAL LOCAL
61009850,A01AD11,Divers (autres médicaments pour traitement oral local)
63378561,A01AD11,Divers (autres médicaments pour traitement oral local)
63938387,A01AD11,Divers (autres médicaments pour traitement oral local)
66011780,A01AD11,Divers (autres médicaments pour traitement oral local)
67563080,A01AD11,Divers (autres médicaments pour traitement oral local)
68050668,A01AD11,Divers (autres médicaments pour traitement oral local)
69819219,A02AA04,Hydroxyde de magnésium
61026643,A02AA10,Associations (composés à base de magnésium)
65836776,A02AB01,Hydroxyde d'aluminium
61421786,A02AB03,Phosphate d'aluminium
62879270,A02AC01,Carbonate de calcium
60330700,A02AD01,Associations de sels
60371120,A02AD01,Associations de sels
60662058,A02AD01,Associations de sels
61539037,A02AD01,Associations de sels
62245483,A02AD01,Associations de sels
62776740,A02AD01,Associations de sels
63798152,A02AD01,Associations de sels
64216427,A02AD01,Associations de sels
64795700,A02AD01,Associations de sels
65323026,A02AD01,Associations de sels
66221622,A02AD01,Associations de sels
67189387,A02AD01,Associations de sels
67897322,A02AD01,Associations de sels
68966337,A02AD01,Associations de sels
69221111,A02AD01,Associations de sels
69545939,A02AD01,Associations de sels
69628395,A02AD01,Associations de sels
69744670,A02AD01,Associations de sels
67979189,A02AD04,Hydrotalcite
63674254,A02AF02,Associations de sels et antiflatulents
64610621,A02AH,ANTI-ACIDES AVEC BICARBONATE DE SODIUM
66679160,A02AH,ANTI-ACIDES AVEC BICARBONATE DE SODIUM
63067592,A02AX,"ANTI-ACIDES, AUTRES ASSOCIATIONS"
64908596,A02AX,"ANTI-ACIDES, AUTRES ASSOCIATIONS"
69967748,A02AX,"ANTI-ACIDES, AUTRES ASSOCIATIONS"
68053454,A02BA01,Cimétidine
60005856,A02BA03,Famotidine
67557907,A02BA03,Famotidine
60806188,A02BC01,Oméprazole
60860606,A02BC01,Oméprazole
61193553,A02BC01,Oméprazole
61490953,A02BC01,Oméprazole
61565950,A02BC01,Oméprazole
61581456,A02BC01,Oméprazole
62044256,A02BC01,Oméprazole
62112248,A02BC01,Oméprazole
62238446,A02BC01,Oméprazole
62543615,A02BC01,Oméprazole
62943125,A02BC01,Oméprazole
63244391,A02BC01,Oméprazole
63404013,A02BC01,Oméprazole
64103828,A02BC01,Oméprazole
64261479,A02BC01,Oméprazole
64997342,A02BC01,Oméprazole
65204851,A02BC01,Oméprazole
65231460,A02BC01,Oméprazole
65581090,A02BC01,Oméprazole
65658163,A02BC01,Oméprazole
65692233,A02BC01,Oméprazole
65789433,A02BC01,Oméprazole
65830008,A02BC01,Oméprazole
66772497,A02BC01,Oméprazole
67234658,A02BC01,Oméprazole
67450136,A02BC01,Oméprazole
67575816,A02BC01,Oméprazole
67710783,A02BC01,Oméprazole
67928853,A02BC01,Oméprazole
67993388,A02BC01,Oméprazole
67995040,A02BC01,Oméprazole
68605333,A02BC01,Oméprazole
68748071,A02BC01,Oméprazole
68995940,A02BC01,Oméprazole
69036504,A02BC01,Oméprazole
69138295,A02BC01,Oméprazole
69276588,A02BC01,Oméprazole
69291960,A02BC01,Oméprazole
69309166,A02BC01,Oméprazole
69335481,A02BC01,Oméprazole
69503071,A02BC01,Oméprazole
69531932,A02BC01,Oméprazole
69606819,A02BC01,Oméprazole
69792010,A02BC01,Oméprazole
60065294,A02BC02,Pantoprazole
60071952,A02BC02,Pantoprazole
60238853,A02BC02,Pantoprazole
60388778,A02BC02,Pantoprazole
60550568,A02BC02,Pantoprazole
60670457,A02BC02,Pantoprazole
60789970,A02BC02,Pantoprazole
60905873,A02BC02,Pantoprazole
61101010,A02BC02,Pantoprazole
61111481,A02BC02,Pantoprazole
61406866,A02BC02,Pantoprazole
62034970,A02BC02,Pantoprazole
62257471,A02BC02,Pantoprazole
62541436,A02BC02,Pantoprazole
62618313,A02BC02,Pantoprazole
62731574,A02BC02,Pantoprazole
63174306,A02BC02,Pantoprazole
63280786,A02BC02,Pantoprazole
63387090,A02BC02,Pantoprazole
63790127,A02BC02,Pantoprazole
63873893,A02BC02,Pantoprazole
63896963,A02BC02,Pantoprazole
63973299,A02BC02,Pantoprazole
64033881,A02BC02,Pantoprazole
64121178,A02BC02,Pantoprazole
64205249,A02BC02,Pantoprazole
64510496,A02BC02,Pantoprazole
64544018,A02BC02,Pantoprazole
64728826,A02BC02,Pantoprazole
64853979,A02BC02,Pantoprazole
64873309,A02BC02,Pantoprazole
64891296,A02BC02,Pantoprazole
64895526,A02BC02,Pantoprazole
65109848,A02BC02,Pantoprazole
65220275,A02BC02,Pantoprazole
65309165,A02BC02,Pantoprazole
65410328,A02BC02,Pantoprazole
65479580,A02BC02,Pantoprazole
65619580,A02BC02,Pantoprazole
66187344,A02BC02,Pantoprazole
66350332,A02BC02,Pantoprazole
66440064,A02BC02,Pantoprazole
66595239,A02BC02,Pantoprazole
66870977,A02BC02,Pantoprazole
67232155,A02BC02,Pantoprazole
67471874,A02BC02,Pantoprazole
67490401,A02BC02,Pantoprazole
67560860,A02BC02,Pantoprazole
67626221,A02BC02,Pantoprazole
67655664,A02BC02,Pantoprazole
67719654,A02BC02,Pantoprazole
68203174,A02BC02,Pantoprazole
68538895,A02BC02,Pantoprazole
68729174,A02BC02,Pantoprazole
68951876,A02BC02,Pantoprazole
69424492,A02BC02,Pantoprazole
60316818,A02BC03,Lansoprazole
60449672,A02BC03,Lansoprazole
60558294,A02BC03,Lansoprazole
60622537,A02BC03,Lansoprazole
60632734,A02BC03,Lansoprazole
60793029,A02BC03,Lansoprazole
60883697,A02BC03,Lansoprazole
61090941,A02BC03,Lansoprazole
61340462,A02BC03,Lansoprazole
61387348,A02BC03,Lansoprazole
61527857,A02BC03,Lansoprazole
61663953,A02BC03,Lansoprazole
61671430,A02BC03,Lansoprazole
61891533,A02BC03,Lansoprazole
62159194,A02BC03,Lansoprazole
62204134,A02BC03,Lansoprazole
62367067,A02BC03,Lansoprazole
62385791,A02BC03,Lansoprazole
62911490,A02BC03,Lansoprazole
63059994,A02BC03,Lansoprazole
63062321,A02BC03,Lansoprazole
63437077,A02BC03,Lansoprazole
63466680,A02BC03,Lansoprazole
63630172,A02BC03,Lansoprazole
63727664,A02BC03,Lansoprazole
64368132,A02BC03,Lansoprazole
64429756,A02BC03,Lansoprazole
64726711,A02BC03,Lansoprazole
64803410,A02BC03,Lansoprazole
65874385,A02BC03,Lansoprazole
66086822,A02BC03,Lansoprazole
66475001,A02BC03,Lansoprazole
66513612,A02BC03,Lansoprazole
66769501,A02BC03,Lansoprazole
67226654,A02BC03,Lansoprazole
67240910,A02BC03,Lansoprazole
67610765,A02BC03,Lansoprazole
68035506,A02BC03,Lansoprazole
68088245,A02BC03,Lansoprazole
68143802,A02BC03,Lansoprazole
68266705,A02BC03,Lansoprazole
68321824,A02BC03,Lansoprazole
68617684,A02BC03,Lansoprazole
68810740,A02BC03,Lansoprazole
69499833,A02BC03,Lansoprazole
69847275,A02BC03,Lansoprazole
69872677,A02BC03,Lansoprazole
69966450,A02BC03,Lansoprazole
60443801,A02BC04,Rabéprazole
60494895,A02BC04,Rabéprazole
61212982,A02BC04,Rabéprazole
61305034,A02BC04,Rabéprazole
61438974,A02BC04,Rabéprazole
61805185,A02BC04,Rabéprazole
62134839,A02BC04,Rabéprazole
62880365,A02BC04,Rabéprazole
62909137,A02BC04,Rabéprazole
63212397,A02BC04,Rabéprazole
63449026,A02BC04,Rabéprazole
63965740,A02BC04,Rabéprazole
64238676,A02BC04,Rabéprazole
64397778,A02BC04,Rabéprazole
64546663,A02BC04,Rabéprazole
64710550,A02BC04,Rabéprazole
64718440,A02BC04,Rabéprazole
65031278,A02BC04,Rabéprazole
65336041,A02BC04,Rabéprazole
65637767,A02BC04,Rabéprazole
65777648,A02BC04,Rabéprazole
66035518,A02BC04,Rabéprazole
66123498,A02BC04,Rabéprazole
66387117,A02BC04,Rabéprazole
66416661,A02BC04,Rabéprazole
66477810,A02BC04,Rabéprazole
66787677,A02BC04,Rabéprazole
67263364,A02BC04,Rabéprazole
67462665,A02BC04,Rabéprazole
68832021,A02BC04,Rabéprazole
69649119,A02BC04,Rabéprazole
60357359,A02BC05,Esoméprazole
60454662,A02BC05,Esoméprazole
60620664,A02BC05,Esoméprazole
60920487,A02BC05,Esoméprazole
61071859,A02BC05,Esoméprazole
61424743,A02BC05,Esoméprazole
61471344,A02BC05,Esoméprazole
61662050,A02BC05,Esoméprazole
62075255,A02BC05,Esoméprazole
62824142,A02BC05,Esoméprazole
62964589,A02BC05,Esoméprazole
63344872,A02BC05,Esoméprazole
63390930,A02BC05,Esoméprazole
63451237,A02BC05,Esoméprazole
63551390,A02BC05,Esoméprazole
63976886,A02BC05,Esoméprazole
64328579,A02BC05,Esoméprazole
64359642,A02BC05,Esoméprazole
64578892,A02BC05,Esoméprazole
64742740,A02BC05,Esoméprazole
65021832,A02BC05,Esoméprazole
65039289,A02BC05,Esoméprazole
65058282,A02BC05,Esoméprazole
65394112,A02BC05,Esoméprazole
65423329,A02BC05,Esoméprazole
66114830,A02BC05,Esoméprazole
66118259,A02BC05,Esoméprazole
66628995,A02BC05,Esoméprazole
66690776,A02BC05,Esoméprazole
66718567,A02BC05,Esoméprazole
66832994,A02BC05,Esoméprazole
67637812,A02BC05,Esoméprazole
67732107,A02BC05,Esoméprazole
67791479,A02BC05,Esoméprazole
67827128,A02BC05,Esoméprazole
67972216,A02BC05,Esoméprazole
68631851,A02BC05,Esoméprazole
69047251,A02BC05,Esoméprazole
69093163,A02BC05,Esoméprazole
69441755,A02BC05,Esoméprazole
69836147,A02BC05,Esoméprazole
61005065,A02BX,AUTRES MÉDICAMENTS POUR L'ULCÈRE PEPTIQUE ET LE REFLUX GASTRO-OESOPHAGIEN (RGO)
61558297,A02BX,AUTRES MÉDICAMENTS POUR L'ULCÈRE PEPTIQUE ET LE REFLUX GASTRO-OESOPHAGIEN (RGO)
62292134,A02BX,AUTRES MÉDICAMENTS POUR L'ULCÈRE PEPTIQUE ET LE REFLUX GASTRO-OESOPHAGIEN (RGO)
63427414,A02BX,AUTRES MÉDICAMENTS POUR L'ULCÈRE PEPTIQUE ET LE REFLUX GASTRO-OESOPHAGIEN (RGO)
63517694,A02BX,AUTRES MÉDICAMENTS POUR L'ULCÈRE PEPTIQUE ET LE REFLUX GASTRO-OESOPHAGIEN (RGO)
63605824,A02BX,AUTRES MÉDICAMENTS POUR L'ULCÈRE PEPTIQUE ET LE REFLUX GASTRO-OESOPHAGIEN (RGO)
63636264,A02BX,AUTRES MÉDICAMENTS POUR L'ULCÈRE PEPTIQUE ET LE REFLUX GASTRO-OESOPHAGIEN (RGO)
63830290,A02BX,AUTRES MÉDICAMENTS POUR L'ULCÈRE PEPTIQUE ET LE REFLUX GASTRO-OESOPHAGIEN (RGO)
64164507,A02BX,AUTRES MÉDICAMENTS POUR L'ULCÈRE PEPTIQUE ET LE REFLUX GASTRO-OESOPHAGIEN (RGO)
65291272,A02BX,AUTRES MÉDICAMENTS POUR L'ULCÈRE PEPTIQUE ET LE REFLUX GASTRO-OESOPHAGIEN (RGO)
65777274,A02BX,AUTRES MÉDICAMENTS POUR L'ULCÈRE PEPTIQUE ET LE REFLUX GASTRO-OESOPHAGIEN (RGO)
66116589,A02BX,AUTRES MÉDICAMENTS POUR L'ULCÈRE PEPTIQUE ET LE REFLUX GASTRO-OESOPHAGIEN (RGO)
66638701,A02BX,AUTRES MÉDICAMENTS POUR L'ULCÈRE PEPTIQUE ET LE REFLUX GASTRO-OESOPHAGIEN (RGO)
66711455,A02BX,AUTRES MÉDICAMENTS POUR L'ULCÈRE PEPTIQUE ET LE REFLUX GASTRO-OESOPHAGIEN (RGO)
66804443,A02BX,AUTRES MÉDICAMENTS POUR L'ULCÈRE PEPTIQUE ET LE REFLUX GASTRO-OESOPHAGIEN (RGO)
67008933,A02BX,AUTRES MÉDICAMENTS POUR L'ULCÈRE PEPTIQUE ET LE REFLUX GASTRO-OESOPHAGIEN (RGO)
67351394,A02BX,AUTRES MÉDICAMENTS POUR L'ULCÈRE PEPTIQUE ET LE REFLUX GASTRO-OESOPHAGIEN (RGO)
67509104,A02BX,AUTRES MÉDICAMENTS POUR L'ULCÈRE PEPTIQUE ET LE REFLUX GASTRO-OESOPHAGIEN (RGO)
67557241,A02BX,AUTRES MÉDICAMENTS POUR L'ULCÈRE PEPTIQUE ET LE REFLUX GASTRO-OESOPHAGIEN (RGO)
68909329,A02BX,AUTRES MÉDICAMENTS POUR L'ULCÈRE PEPTIQUE ET LE REFLUX GASTRO-OESOPHAGIEN (RGO)
69418436,A02BX,AUTRES MÉDICAMENTS POUR L'ULCÈRE PEPTIQUE ET LE REFLUX GASTRO-OESOPHAGIEN (RGO)
69548668,A02BX,AUTRES MÉDICAMENTS POUR L'ULCÈRE PEPTIQUE ET LE REFLUX GASTRO-OESOPHAGIEN (RGO)
69550690,A02BX,AUTRES MÉDICAMENTS POUR L'ULCÈRE PEPTIQUE ET LE REFLUX GASTRO-OESOPHAGIEN (RGO)
60602431,A02BX02,Sucralfate
64577534,A02BX02,Sucralfate
68928009,A02BX02,Sucralfate
69428971,A02BX02,Sucralfate
61703401,A03AA04,Mébévérine
61896847,A03AA04,Mébévérine
63284005,A03AA04,Mébévérine
65242784,A03AA04,Mébévérine
60246750,A03AA05,Trimébutine
60508697,A03AA05,Trimébutine
60588704,A03AA05,Trimébutine
60955940,A03AA05,Trimébutine
61542706,A03AA05,Trimébutine
61653585,A03AA05,Trimébutine
61924474,A03AA05,Trimébutine
62387842,A03AA05,Trimébutine
62526007,A03AA05,Trimébutine
62555820,A03AA05,Trimébutine
62867108,A03AA05,Trimébutine
63288046,A03AA05,Trimébutine
63480915,A03AA05,Trimébutine
63526743,A03AA05,Trimébutine
63683463,A03AA05,Trimébutine
64536295,A03AA05,Trimébutine
64869766,A03AA05,Trimébutine
64911877,A03AA05,Trimébutine
64929277,A03AA05,Trimébutine
65239699,A03AA05,Trimébutine
65444540,A03AA05,Trimébutine
65820028,A03AA05,Trimébutine
65869452,A03AA05,Trimébutine
65960119,A03AA05,Trimébutine
66299813,A03AA05,Trimébutine
66596686,A03AA05,Trimébutine
66670503,A03AA05,Trimébutine
66906619,A03AA05,Trimébutine
67705779,A03AA05,Trimébutine
68650944,A03AA05,Trimébutine
68816348,A03AA05,Trimébutine
68901510,A03AA05,Trimébutine
69125020,A03AA05,Trimébutine
69814229,A03AA05,Trimébutine
62719472,A03AB02,Glycopyrronium
63425566,A03AD01,Papavérine
60127671,A03AX,AUTRES MÉDICAMENTS POUR LES TROUBLES FONCTIONNELS GASTRO-INTESTINAUX
61391268,A03AX,AUTRES MÉDICAMENTS POUR LES TROUBLES FONCTIONNELS GASTRO-INTESTINAUX
61818407,A03AX04,Pinavérium
64172183,A03AX04,Pinavérium
65466316,A03AX04,Pinavérium
66845027,A03AX04,Pinavérium
67458161,A03AX04,Pinavérium
67771462,A03AX04,Pinavérium
67803141,A03AX04,Pinavérium
67907108,A03AX04,Pinavérium
60399956,A03AX12,Phloroglucinol
61788266,A03AX12,Phloroglucinol
61861910,A03AX12,Phloroglucinol
62066822,A03AX12,Phloroglucinol
62944693,A03AX12,Phloroglucinol
62998997,A03AX12,Phloroglucinol
64052764,A03AX12,Phloroglucinol
64781024,A03AX12,Phloroglucinol
64970338,A03AX12,Phloroglucinol
65632624,A03AX12,Phloroglucinol
65923640,A03AX12,Phloroglucinol
66105571,A03AX12,Phloroglucinol
66482348,A03AX12,Phloroglucinol
67235518,A03AX12,Phloroglucinol
67294573,A03AX12,Phloroglucinol
68081368,A03AX12,Phloroglucinol
68674735,A03AX12,Phloroglucinol
68694175,A03AX12,Phloroglucinol
69685535,A03AX12,Phloroglucinol
63103939,A03AX13,Silicones
63660735,A03AX13,Silicones
69242130,A03AX13,Silicones
69303640,A03AX13,Silicones
60182237,A03AX58,Alvérine en association
60252027,A03AX58,Alvérine en association
61204836,A03AX58,Alvérine en association
64902547,A03AX58,Alvérine en association
61308525,A03BA01,Atropine
61397901,A03BA01,Atropine
61883472,A03BA01,Atropine
62626185,A03BA01,Atropine
63358772,A03BA01,Atropine
63667263,A03BA01,Atropine
65395919,A03BA01,Atropine
66063364,A03BA01,Atropine
67839899,A03BA01,Atropine
68551234,A03BA01,Atropine
68950386,A03BA01,Atropine
69697199,A03BA01,Atropine
64151164,A03BB01,Butylscopolamine
64490111,A03BB01,Butylscopolamine
69588545,A03BB01,Butylscopolamine
66803576,A03CA02,Clidinium et psycholeptiques
67627992,A03CA02,Clidinium et psycholeptiques
61729093,A03FA01,Métoclopramide
62684103,A03FA01,Métoclopramide
63076709,A03FA01,Métoclopramide
63177843,A03FA01,Métoclopramide
63670380,A03FA01,Métoclopramide
63845762,A03FA01,Métoclopramide
65529325,A03FA01,Métoclopramide
68968199,A03FA01,Métoclopramide
60764337,A03FA03,Dompéridone
61339905,A03FA03,Dompéridone
61402056,A03FA03,Dompéridone
62128302,A03FA03,Dompéridone
62717293,A03FA03,Dompéridone
63333858,A03FA03,Dompéridone
63394334,A03FA03,Dompéridone
63630635,A03FA03,Dompéridone
63679194,A03FA03,Dompéridone
66398576,A03FA03,Dompéridone
66585953,A03FA03,Dompéridone
67116396,A03FA03,Dompéridone
68054595,A03FA03,Dompéridone
68427304,A03FA03,Dompéridone
69139269,A03FA03,Dompéridone
69742865,A03FA03,Dompéridone
60530882,A04AA01,Ondansétron
61092935,A04AA01,Ondansétron
61187301,A04AA01,Ondansétron
61271062,A04AA01,Ondansétron
61621687,A04AA01,Ondansétron
62202293,A04AA01,Ondansétron
62518996,A04AA01,Ondansétron
63782187,A04AA01,Ondansétron
63814329,A04AA01,Ondansétron
63832373,A04AA01,Ondansétron
63988721,A04AA01,Ondansétron
64589522,A04AA01,Ondansétron
64961378,A04AA01,Ondansétron
65394952,A04AA01,Ondansétron
65630096,A04AA01,Ondansétron
65991171,A04AA01,Ondansétron
66019147,A04AA01,Ondansétron
66120057,A04AA01,Ondansétron
66654374,A04AA01,Ondansétron
67029888,A04AA01,Ondansétron
68262500,A04AA01,Ondansétron
68368941,A04AA01,Ondansétron
68663863,A04AA01,Ondansétron
68703724,A04AA01,Ondansétron
68937339,A04AA01,Ondansétron
69422609,A04AA01,Ondansétron
63420868,A04AA02,Granisétron
67592694,A04AA02,Granisétron
69000764,A04AA02,Granisétron
69386458,A04AA02,Granisétron
60173964,A04AD,AUTRES ANTI-ÉMÉTIQUES
60456535,A04AD,AUTRES ANTI-ÉMÉTIQUES
61447165,A04AD,AUTRES ANTI-ÉMÉTIQUES
62444574,A04AD,AUTRES ANTI-ÉMÉTIQUES
63137902,A04AD,AUTRES ANTI-ÉMÉTIQUES
68461541,A04AD,AUTRES ANTI-ÉMÉTIQUES
68650684,A04AD,AUTRES ANTI-ÉMÉTIQUES
69465286,A04AD,AUTRES ANTI-ÉMÉTIQUES
69806008,A04AD,AUTRES ANTI-ÉMÉTIQUES
63034382,A04AD01,Scopolamine
63958849,A04AD01,Scopolamine
68731823,A04AD01,Scopolamine
61183089,A04AD05,Métopimazine
61264153,A04AD05,Métopimazine
62154681,A04AD05,Métopimazine
63610522,A04AD05,Métopimazine
66179148,A04AD05,Métopimazine
66745607,A04AD05,Métopimazine
68318931,A04AD05,Métopimazine
69503737,A04AD05,Métopimazine
67716786,A05AA01,Acide chénodésoxycholique
60044841,A05AA02,Acide ursodésoxycholique
60886120,A05AA02,Acide ursodésoxycholique
60970141,A05AA02,Acide ursodésoxycholique
61225182,A05AA02,Acide ursodésoxycholique
61289772,A05AA02,Acide ursodésoxycholique
61923340,A05AA02,Acide ursodésoxycholique
62508863,A05AA02,Acide ursodésoxycholique
62736411,A05AA02,Acide ursodésoxycholique
62994066,A05AA02,Acide ursodésoxycholique
63199590,A05AA02,Acide ursodésoxycholique
66438622,A05AA02,Acide ursodésoxycholique
66830922,A05AA02,Acide ursodésoxycholique
68764346,A05AA02,Acide ursodésoxycholique
68806603,A05AA02,Acide ursodésoxycholique
69307489,A05AA02,Acide ursodésoxycholique
69369640,A05AA02,Acide ursodésoxycholique
69674026,A05AA02,Acide ursodésoxycholique
69846255,A05AA02,Acide ursodésoxycholique
60438793,A05AX,AUTRES MÉDICAMENTS POUR LA THÉRAPIE BILIAIRE
62125473,A05AX,AUTRES MÉDICAMENTS POUR LA THÉRAPIE BILIAIRE
61974317,A05AX02,Hymécromone
62885889,A05BA,THÉRAPIE HÉPATIQUE
68869347,A05BA,THÉRAPIE HÉPATIQUE
63251820,A05BA03,Silymarine
63681430,A05BA07,Tidiacic arginine
61235109,A05C,MÉDICAMENTS POUR LA THÉRAPIE BILIAIRE ET LIPOTROPIQUES EN ASSOCIATION
61368020,A05C,MÉDICAMENTS POUR LA THÉRAPIE BILIAIRE ET LIPOTROPIQUES EN ASSOCIATION
65512429,A05C,MÉDICAMENTS POUR LA THÉRAPIE BILIAIRE ET LIPOTROPIQUES EN ASSOCIATION
67939789,A05C,MÉDICAMENTS POUR LA THÉRAPIE BILIAIRE ET LIPOTROPIQUES EN ASSOCIATION
61383855,A06AA01,Huile de paraffine
62679978,A06AA01,Huile de paraffine
63407479,A06AA01,Huile de paraffine
63745833,A06AA01,Huile de paraffine
65515642,A06AA01,Huile de paraffine
66095942,A06AA01,Huile de paraffine
66514397,A06AA01,Huile de paraffine
68592416,A06AA01,Huile de paraffine
68998922,A06AA01,Huile de paraffine
68486676,A06AA02,Docusate de sodium
69281980,A06AA02,Docusate de sodium
60293846,A06AB,LAXATIFS STIMULANTS
60295046,A06AB,LAXATIFS STIMULANTS
68705440,A06AB,LAXATIFS STIMULANTS
60572618,A06AB02,Bisacodyl
62128430,A06AB02,Bisacodyl
63476404,A06AB02,Bisacodyl
64240652,A06AB02,Bisacodyl
64835956,A06AB02,Bisacodyl
65267855,A06AB02,Bisacodyl
65323898,A06AB02,Bisacodyl
66092871,A06AB02,Bisacodyl
67064661,A06AB02,Bisacodyl
68009657,A06AB02,Bisacodyl
68521821,A06AB02,Bisacodyl
68759274,A06AB02,Bisacodyl
60030980,A06AB06,Glycosides de séné
64188020,A06AB06,Glycosides de séné
65038536,A06AB06,Glycosides de séné
67867311,A06AB06,Glycosides de séné
69149943,A06AB06,Glycosides de séné
63875218,A06AB08,Picosulfate de sodium
61959781,A06AB56,Glycosides de séné en association
64844784,A06AB56,Glycosides de séné en association
65008219,A06AB56,Glycosides de séné en association
66787499,A06AB56,Glycosides de séné en association
69770003,A06AB56,Glycosides de séné en association
61330596,A06AB57,Cascara en association
68520477,A06AC,LAXATIFS DE LEST
61112067,A06AC01,Ispaghul (graines de psyllium)
61467730,A06AC01,Ispaghul (graines de psyllium)
62649579,A06AC01,Ispaghul (graines de psyllium)
63097258,A06AC01,Ispaghul (graines de psyllium)
64854611,A06AC01,Ispaghul (graines de psyllium)
65320140,A06AC01,Ispaghul (graines de psyllium)
67437758,A06AC01,Ispaghul (graines de psyllium)
68740295,A06AC01,Ispaghul (graines de psyllium)
61503895,A06AC03,Sterculia
69973822,A06AC03,Sterculia
66768488,A06AC51,Ispaghul en association
67174823,A06AC51,Ispaghul en association
60232074,A06AD,LAXATIFS OSMOTIQUES
61016624,A06AD,LAXATIFS OSMOTIQUES
66109317,A06AD,LAXATIFS OSMOTIQUES
67904304,A06AD,LAXATIFS OSMOTIQUES
60155329,A06AD11,Lactulose
61118159,A06AD11,Lactulose
61208902,A06AD11,Lactulose
62608575,A06AD11,Lactulose
62729121,A06AD11,Lactulose
63925817,A06AD11,Lactulose
64405125,A06AD11,Lactulose
64834085,A06AD11,Lactulose
65512799,A06AD11,Lactulose
65533971,A06AD11,Lactulose
66632634,A06AD11,Lactulose
66952196,A06AD11,Lactulose
67423559,A06AD11,Lactulose
67432348,A06AD11,Lactulose
68014679,A06AD11,Lactulose
69828759,A06AD11,Lactulose
62794521,A06AD12,Lactitol
63342202,A06AD12,Lactitol
66100784,A06AD12,Lactitol
66075391,A06AD14,Pentaérithrityl
60025314,A06AD15,Macrogol
60462538,A06AD15,Macrogol
61408707,A06AD15,Macrogol
61535416,A06AD15,Macrogol
63229902,A06AD15,Macrogol
63294768,A06AD15,Macrogol
63735718,A06AD15,Macrogol
64452609,A06AD15,Macrogol
64925955,A06AD15,Macrogol
66171094,A06AD15,Macrogol
66460615,A06AD15,Macrogol
66948867,A06AD15,Macrogol
67002485,A06AD15,Macrogol
68514022,A06AD15,Macrogol
69198794,A06AD15,Macrogol
