ATC_code,Libellé français
A06AB57,cascara en association
A06AB58,picosulfate de sodium en association
A06AC,laxatifs de lest
A06AC01,ispaghul (graines de psyllium)
A06AC02,éthulose
A06AC03,Sterculia
A06AC05,graines de lin
A06AC06,méthylcellulose
A06AC07,Triticum (fibres de blé)
A06AC08,polycarbophile de calcium
A06AC51,ispaghul en association
A06AC53,Sterculia en association
A06AC55,graines de lin en association
A06AD,laxatifs osmotiques
A06AD01,carbonate de magnésium
A06AD02,oxyde de magnésium
A06AD03,peroxyde de magnésium
A06AD04,sulfate de magnésium
A06AD10,sels minéraux en association
A06AD11,lactulose
A06AD12,lactitol
A06AD13,sulfate de sodium
A06AD14,pentaérithrityl
A06AD15,macrogol
A06AD16,mannitol
A06AD17,phosphate de sodium
A06AD18,sorbitol
A06AD19,citrate de magnésium
A06AD21,tartrate de sodium
A06AD61,lactulose en association
A06AD65,macrogol en association
A06AG,lavements
A06AG01,phosphate de sodium
A06AG02,bisacodyl
A06AG03,"dantrone, associations incluses"
A06AG04,glycérol
A06AG06,huile
A06AG07,sorbitol
A06AG10,"docusate de sodium, associations incluses"
A06AG11,"laurylsulfoacétate de sodium, associations incluses"
A06AG20,associations (lavements)
A06AH,antagonistes des récepteurs opioïdes périphériques
A06AH01,bromure de méthylnaltrexone
A06AH02,alvimopan
A06AH03,naloxégol
A06AH04,naloxone
A06AH05,naldémédine
A06AX,autres médicaments pour la constipation
A06AX01,glycérol
A06AX02,médicaments produisant de l'anhydride carbonique
A06AX03,lubiprostone
A06AX04,linaclotide
A06AX05,prucalopride
A06AX06,tégasérod
A06AX07,plécanatide
A06AX08,ténapanor
A06AX09,élobixibat
A07,"antidiarrhéiques, anti-inflammatoires et anti-infectieux intestinaux"
A07A,anti-infectieux intestinaux
A07AA,antibiotiques
A07AA01,néomycine
A07AA02,nystatine
A07AA03,natamycine
A07AA04,streptomycine
A07AA05,polymyxine B
A07AA06,paromomycine
A07AA07,amphotéricine B
A07AA08,kanamycine
A07AA09,vancomycine
A07AA10,colistine
A07AA11,rifaximine
A07AA12,fidaxomicine
A07AA13,rifamycine
A07AA51,néomycine en association
A07AA54,streptomycine en association
A07AB,sulfamides
A07AB02,phthalylsulfathiazole
A07AB03,sulfaguanidine
A07AB04,succinylsulfathiazole
A07AC,dérivés imidazolés
A07AC01,miconazole
A07AX,autres anti-infectieux intestinaux
A07AX01,broxyquinoline
A07AX02,acétarsol
A07AX03,nifuroxazide
A07AX04,nifurzide
A07B,adsorbants intestinaux
A07BA,préparations à base de charbon
A07BA01,charbon médicinal
A07BA51,charbon médicinal en association
A07BB,préparations à base de bismuth
A07BC,autres adsorbants intestinaux
A07BC01,pectine
A07BC02,kaolin
A07BC03,crospovidone
A07BC04,attapulgite
A07BC05,diosmectite
A07BC30,associations (autres adsorbants intestinaux)
A07BC54,attapulgite en association
A07C,électrolytes et glucides
A07CA,formules salines pour réhydratation orale
A07D,ralentisseurs de la motricité intestinale
A07DA,ralentisseurs de la motricité intestinale
A07DA01,diphénoxylate
A07DA02,opium
A07DA03,lopéramide
A07DA04,difénoxine
A07DA05,oxyde de lopéramide
A07DA06,éluxadoline
A07DA52,morphine en association
A07DA53,lopéramide en association
A07E,anti-inflammatoires intestinaux
A07EA,corticoïdes à action locale
A07EA01,prednisolone
A07EA02,hydrocortisone
A07EA03,prednisone
A07EA04,bétaméthasone
A07EA05,tixocortol
A07EA06,budésonide
A07EA07,béclométasone
A07EB,anti-allergiques sauf corticoïdes
A07EB01,acide cromoglicique
A07EC,acide aminosalicylique et analogues
A07EC01,sulfasalazine
A07EC02,mésalazine
A07EC03,olsalazine
A07EC04,balsalazide
A07F,micro-organismes antidiarrhéiques
A07FA,micro-organismes antidiarrhéiques
A07FA01,micro-organismes produisant de l'acide lactique
A07FA02,Saccharomyces boulardii
A07FA03,Escherichia coli
A07FA51,micro-organismes produisant de l'acide lactique en association
A07X,autres antidiarrhéiques
A07XA,autres antidiarrhéiques
A07XA01,tannate d'albumine
A07XA02,Ceratonia
A07XA03,composés à base de calcium
A07XA04,racécadotril
A07XA06,crofélémer
A07XA51,tannate d'albumine en association
A08,préparations contre l'obésité sauf produits de régime
A08A,préparations contre l'obésité sauf produits de régime
A08AA,médicaments contre l'obésité à action centrale
A08AA01,phentermine
A08AA02,fenfluramine
A08AA03,amfépramone
A08AA04,dexfenfluramine
A08AA05,mazindol
A08AA06,étilamfétamine
A08AA07,cathine
A08AA08,clobenzorex
A08AA09,méfénorex
A08AA10,sibutramine
A08AA11,lorcasérine
A08AA12,setmélanotide
A08AA51,phentermine et topiramate
A08AA56,éphédrine en association
A08AA62,bupropione et naltrexone
A08AB,médicaments contre l'obésité à action périphérique
A08AB01,orlistat
A08AX,autres médicaments contre l'obésité
A08AX01,rimonabant
A09,"médicaments de la digestion, enzymes incluses"
A09A,"médicaments de la digestion, enzymes incluses"
A09AA,préparations enzymatiques
A09AA01,diastase
A09AA02,"multienzymes (lipase, protéase...)"
A09AA03,pepsine
A09AA04,tilactase
A09AB,préparations acides
A09AB01,chlorhydrate d'acide glutamique
A09AB02,chlorhydrate de bétaïne
A09AB03,acide chlorhydrique
A09AB04,acide citrique
A09AC,enzymes et préparations acides en association
A09AC01,pepsine et préparations acides
A09AC02,multienzymes et préparations acides
A10,médicaments du diabète
A10A,insulines et analogues
A10AB,insulines et analogues d'action rapide par voie injectable
A10AB01,insuline humaine
A10AB02,insuline bovine
A10AB03,insuline porcine
A10AB04,insuline lispro
A10AB05,insuline asparte
A10AB06,insuline glulisine
A10AB30,associations (insulines et analogues d'action rapide par voie injectable)
A10AC,insulines et analogues d'action intermédiaire par voie injectable
A10AC01,insuline humaine
A10AC02,insuline bovine
A10AC03,insuline porcine
A10AC04,insuline lispro
A10AC30,associations (insulines et analogues d'action intermédiaire par voie injectable)
A10AD,insulines et analogues d'action intermédiaire ou lente et à début d'action rapide par voie injectable
A10AD01,insuline humaine
A10AD02,insuline bovine
A10AD03,insuline porcine
A10AD04,insuline lispro
A10AD05,insuline asparte
A10AD06,insuline dégludec et insuline asparte
A10AD30,associations (insulines et analogues d'action intermédiaire ou lente et à début d'action rapide par voie injectable)
A10AE,insulines et analogues d'action lente par voie injectable
A10AE01,insuline humaine
A10AE02,insuline bovine
A10AE03,insuline porcine
A10AE04,insuline glargine
A10AE05,insuline détémir
A10AE06,insuline dégludec
A10AE07,insuline icodec
A10AE30,associations (insulines et analogues d'action lente par voie injectable)
A10AE54,insuline glargine et lixisénatide
A10AE56,insuline dégludec et liraglutide
A10AF,insulines et analogues pour inhalation
A10AF01,insuline humaine
A10B,médicaments hypoglycémiants sauf insulines
A10BA,biguanides
A10BA01,phenformine
A10BA02,metformine
A10BA03,buformine
A10BB,sulfonylurées
A10BB01,glibenclamide
A10BB02,chlorpropamide
A10BB03,tolbutamide
A10BB04,glibornuride
A10BB05,tolazamide
A10BB06,carbutamide
A10BB07,glipizide
A10BB08,gliquidone
A10BB09,gliclazide
A10BB10,métahexamide
A10BB11,glisoxépide
A10BB12,glimépiride
A10BB31,acétohexamide
A10BC,sulfamides (hétérocycles)
A10BC01,glymidine
A10BD,associations de médicaments hypoglycémiants oraux
A10BD01,phenformine et sulfonylurées
A10BD02,metformine et sulfonylurées
A10BD03,metformine et rosiglitazone
A10BD04,glimépiride et rosiglitazone
A10BD05,metformine et pioglitazone
A10BD06,glimépiride et pioglitazone
A10BD07,metformine et sitagliptine
A10BD08,metformine et vildagliptine
A10BD09,pioglitazone et alogliptine
A10BD10,metformine et saxagliptine
A10BD11,metformine et linagliptine
A10BD12,pioglitazone et sitagliptine
A10BD13,metformine et alogliptine
A10BD14,metformine et répaglinide
A10BD15,metformine et dapagliflozine
A10BD16,metformine et canagliflozine
A10BD17,metformine et acarbose
A10BD18,metformine et gémigliptine
A10BD19,linagliptine et empagliflozine
A10BD20,metformine et empagliflozine
A10BD21,saxagliptine et dapagliflozine
A10BD22,metformine et évogliptine
A10BD23,metformine et ertugliflozine
A10BD24,sitagliptine et ertugliflozine
A10BD25,"metformine, saxagliptine et dapagliflozine"
A10BD26,metformine et lobéglitazone
A10BD27,"metformine, linagliptine et empagliflozine"
A10BD28,metformine et ténéligliptine
A10BD29,sitagliptine et dapagliflozine
A10BF,inhibiteurs de l'alpha-glucosidase
A10BF01,acarbose
A10BF02,miglitol
A10BF03,voglibose
A10BG,thiazolinediones
A10BG01,troglitazone
A10BG02,rosiglitazone
A10BG03,pioglitazone
A10BG04,lobéglitazone
A10BH,inhibiteurs de la dipeptidylpeptidase-4 (DPP-4)
A10BH01,sitagliptine
A10BH02,vildagliptine
A10BH03,saxagliptine
A10BH04,alogliptine
A10BH05,linagliptine
A10BH06,gémigliptine
A10BH07,évogliptine
A10BH08,ténéligliptine
A10BH51,sitagliptine et simvastatine
A10BH52,gémigliptine et rosuvastatine
A10BJ,analogues du glucagon-like peptide-1 (GLP-1)
A10BJ01,exénatide
A10BJ02,liraglutide
A10BJ03,lixisénatide
A10BJ04,albiglutide
A10BJ05,dulaglutide
A10BJ06,sémaglutide
A10BJ07,béinaglutide
A10BK,inhibiteurs du co-transporteur de sodium-glucose de type 2 (SGLT2)
A10BK01,dapagliflozine
A10BK02,canagliflozine
A10BK03,empagliflozine
A10BK04,ertugliflozine
A10BK05,ipragliflozine
A10BK06,sotagliflozine
A10BK07,luséogliflozine
A10BK08,bexagliflozine
A10BX,autres médicaments hypoglycémiants sauf insulines
A10BX01,gomme guar
A10BX02,répaglinide
A10BX03,natéglinide
A10BX05,pramlintide
A10BX06,benfluorex
A10BX08,mitiglinide
A10BX15,iméglimine
A10BX16,tirzépatide
A10BX17,carfloglitazar
A10BX18,dorzagliatine
A10X,autres médicaments du diabète
A10XA,inhibiteurs de l'aldose réductase
A10XA01,tolrestat
A10XX,autres médicaments du diabète
A10XX01,téplizumab
A11,vitamines
A11A,polyvitamines en association
A11AA,polyvitamines avec éléments minéraux
A11AA01,polyvitamines et fer
A11AA02,polyvitamines et calcium
A11AA03,"polyvitamines et autres éléments minéraux, associations incluses"
A11AA04,polyvitamines et oligo-éléments
A11AB,"polyvitamines, autres associations"
A11B,polyvitamines non associées
A11BA,polyvitamines non associées
A11C,"vitamines A et D, associations des deux incluses"
A11CA,vitamine A non associée
A11CA01,rétinol (vitamine A)
A11CA02,bétacarotène
A11CB,vitamines A et D en association
A11CC,vitamine D et analogues
A11CC01,ergocalciférol
A11CC02,dihydrotachystérol
A11CC03,alfacalcidol
A11CC04,calcitriol
A11CC05,colécalciférol
A11CC06,calcifédiol
A11CC20,associations (vitamine D et analogues)
A11CC55,colécalciférol en association
A11D,vitamine B1 non associée et en association avec vitamines B6 et B12
A11DA,vitamine B1 non associée
A11DA01,thiamine (vitamine B1)
A11DA02,sulbutiamine
A11DA03,benfotiamine
A11DB,vitamine B1 en association à la vitamine B6 et/ou à la vitamine B12
A11E,"complexe vitaminique B, associations incluses"
A11EA,complexe vitaminique B non associé
A11EB,complexe vitaminique B avec vitamine C
A11EC,complexe vitaminique B avec éléments minéraux
A11ED,complexe vitaminique B avec stéroïdes anabolisants
A11EX,"complexe vitaminique B, autres associations"
A11G,"acide ascorbique (vitamine C), associations incluses"
A11GA,acide ascorbique (vitamine C) non associé
A11GA01,acide ascorbique (vitamine C)
A11GB,acide ascorbique (vitamine C) en association
A11GB01,acide ascorbique (vitamine C) et calcium
A11H,autres préparations vitaminiques non associées
A11HA,autres préparations vitaminiques non associées
A11HA01,nicotinamide
A11HA02,pyridoxine (vitamine B6)
A11HA03,tocophérol (vitamine E)
A11HA04,riboflavine (vitamine B2)
A11HA05,biotine
A11HA06,phosphate de pyridoxal
A11HA07,inositol
A11HA08,tocofersolan
A11HA30,dexpanthénol
A11HA31,pantothénate de calcium
A11HA32,pantéthine
A11J,autres vitamines en association
A11JA,associations de vitamines
A11JB,vitamines avec éléments minéraux
A11JC,"vitamines, autres associations"
A12,suppléments minéraux
A12A,calcium
A12AA,calcium
A12AA01,phosphate de calcium
A12AA02,glubionate de calcium
A12AA03,gluconate de calcium
A12AA04,carbonate de calcium
A12AA05,lactate de calcium
A12AA06,gluconolactate de calcium
A12AA07,chlorure de calcium
A12AA08,glycérophosphate de calcium
A12AA09,complexe de citrate de calcium et de lysine
A12AA10,glucoheptonate de calcium
A12AA11,pangamate de calcium
A12AA13,citrate de calcium
A12AA20,calcium (différents sels en association)
A12AA30,lévulinate de calcium
A12AX,calcium en association avec de la vitamine D et/ou d'autres substances
A12B,potassium
A12BA,potassium
A12BA01,chlorure de potassium
A12BA02,citrate de potassium
A12BA03,hydrogénotartrate de potassium
A12BA04,bicarbonate de potassium
A12BA05,gluconate de potassium
A12BA30,potassium (différents sels en association)
A12BA51,chlorure de potassium en association
A12C,autres suppléments minéraux
A12CA,sodium
A12CA01,chlorure de sodium
A12CA02,sulfate de sodium
A12CB,zinc
A12CB01,sulfate de zinc
A12CB02,gluconate de zinc
A12CB03,complexe de protéines de zinc
A12CC,magnésium
A12CC01,chlorure de magnésium
A12CC02,sulfate de magnésium
A12CC03,gluconate de magnésium
A12CC04,citrate de magnésium
A12CC05,aspartate de magnésium
A12CC06,lactate de magnésium
A12CC07,lévulinate de magnésium
A12CC08,pidolate de magnésium
A12CC09,orotate de magnésium
A12CC10,oxyde de magnésium
A12CC30,magnésium (différents sels en association)
A12CD,fluorure
A12CD01,fluorure de sodium
A12CD02,monofluorophosphate de sodium
A12CD51,fluorure en association
A12CE,sélénium
A12CE01,sélénate de sodium
A12CE02,sélénite de sodium
A12CX,autres éléments minéraux
A13,toniques
A13A,toniques
A14,anabolisants à usage systémique
A14A,stéroïdes anabolisants
A14AA,dérivés de l'androstane
A14AA01,androstanolone
A14AA02,stanozolol
A14AA03,métandiénone
A14AA04,méténolone
A14AA05,oxymétholone
A14AA06,quinbolone
A14AA07,prastérone
A14AA08,oxandrolone
A14AA09,noréthandrolone
A14AB,dérivés de l'estrène
A14AB01,nandrolone
A14AB02,éthylestrénol
A14AB03,cipionate d'oxabolone
A14B,autres anabolisants
A15,stimulants de l'appétit
A16,autres produits des voies digestives et du métabolisme
A16A,autres produits des voies digestives et du métabolisme
A16AA,acides aminés et dérivés
A16AA01,lévocarnitine
A16AA02,adéméthionine
A16AA03,glutamine
A16AA04,mercaptamine
A16AA05,acide carglumique
A16AA06,bétaïne
A16AA07,métréleptine
A16AB,enzymes
A16AB01,alglucérase
A16AB02,imiglucérase
A16AB03,agalsidase alfa
A16AB04,agalsidase bêta
A16AB05,laronidase
A16AB06,sacrosidase
A16AB07,alglucosidase alfa
A16AB08,galsulfase
A16AB09,idursulfase
A16AB10,vélaglucérase alfa
A16AB11,taliglucérase alfa
A16AB12,élosulfase alfa
A16AB13,asfotase alfa
A16AB14,sébélipase alfa
A16AB15,velmanase alfa
A16AB16,idursulfase bêta
A16AB17,cerliponase alfa
A16AB18,vestronidase alfa
A16AB19,pegvaliase
A16AB20,pégunigalsidase alfa
A16AB21,atidarsagène autotemcel
A16AB22,avalglucosidase alfa
A16AB23,cipaglucosidase alfa
A16AB24,pegzilarginase
A16AB25,olipudase alfa
A16AB26,éladocagène exuparvovec
A16AB27,pabinafusp alfa
A16AX,divers produits des voies digestives et du métabolisme
A16AX01,acide thioctique
A16AX02,anéthole trithione
A16AX03,phénylbutyrate de sodium
A16AX04,nitisinone
A16AX05,acétate de zinc
A16AX06,miglustat
A16AX07,saproptérine
A16AX08,téduglutide
A16AX09,phénylbutyrate de glycérol
A16AX10,éliglustat
A16AX11,benzoate de sodium
A16AX12,trientine
A16AX13,triacétate d'uridine
A16AX14,migalastat
A16AX15,télotristat
A16AX16,givosiran
A16AX17,triheptanoïne
A16AX18,lumasiran
A16AX19,fosdénoptérine
A16AX20,lonafarnib
A16AX21,élivaldogène autotemcel
A16AX22,acide tiomolibdique
A16AX23,lériglitazone
A16AX30,benzoate de sodium et phénylacétate de sodium
B,sang et organes hématopoïétiques
B01,antithrombotiques
B01A,antithrombotiques
B01AA,antivitamines K
B01AA01,dicoumarol
B01AA02,phénindione
B01AA03,warfarine
B01AA04,phenprocoumone
B01AA07,acénocoumarol
B01AA08,biscoumacétate d'éthyle
B01AA09,clorindione
B01AA10,diphénadione
